"endyear","unitid","instname","state","sector","ugftfresh","ugftfreshwh","ugftfreshbl","ugftfreshhi","ugftfreshap","ugftfreshas","ugftfreshnh","ugftfreshna","ugftfreshmr","ugftfreshun","ugftfreshal","ugftfreshwh_pct","ugftfreshbl_pct","ugftfreshhi_pct","ugftfreshap_pct","ugftfreshas_pct","ugftfreshnh_pct","ugftfreshna_pct","ugftfreshmr_pct","ugftfreshun_pct","ugftfreshal_pct","ugptfresh","ugptfreshwh","ugptfreshbl","ugptfreshhi","ugptfreshap","ugptfreshas","ugptfreshnh","ugptfreshna","ugptfreshmr","ugptfreshun","ugptfreshal","ugptfreshwh_pct","ugptfreshbl_pct","ugptfreshhi_pct","ugptfreshap_pct","ugptfreshas_pct","ugptfreshnh_pct","ugptfreshna_pct","ugptfreshmr_pct","ugptfreshun_pct","ugptfreshal_pct","ugftptfresh","ugftptfreshwh","ugftptfreshbl","ugftptfreshhi","ugftptfreshap","ugftptfreshas","ugftptfreshnh","ugftptfreshna","ugftptfreshmr","ugftptfreshun","ugftptfreshal","ugftptfreshwh_pct","ugftptfreshbl_pct","ugftptfreshhi_pct","ugftptfreshap_pct","ugftptfreshas_pct","ugftptfreshnh_pct","ugftptfreshna_pct","ugftptfreshmr_pct","ugftptfreshun_pct","ugftptfreshal_pct","ugft","ugftwh","ugftbl","ugfthi","ugftap","ugftas","ugftnh","ugftna","ugftmr","ugftun","ugftal","ugftwh_pct","ugftbl_pct","ugfthi_pct","ugftap_pct","ugftas_pct","ugftnh_pct","ugftna_pct","ugftmr_pct","ugftun_pct","ugftal_pct","ugpt","ugptwh","ugptbl","ugpthi","ugptap","ugptas","ugptnh","ugptna","ugptmr","ugptun","ugptal","ugptwh_pct","ugptbl_pct","ugpthi_pct","ugptap_pct","ugptas_pct","ugptnh_pct","ugptna_pct","ugptmr_pct","ugptun_pct","ugptal_pct","ugftpt","ugftptwh","ugftptbl","ugftpthi","ugftptap","ugftptas","ugftptnh","ugftptna","ugftptmr","ugftptun","ugftptal","ugftptwh_pct","ugftptbl_pct","ugftpthi_pct","ugftptap_pct","ugftptas_pct","ugftptnh_pct","ugftptna_pct","ugftptmr_pct","ugftptun_pct","ugftptal_pct","state_pop_1824","pop4_white_nh_1824","pop4_black_nh_1824","pop4_api_nh_1824","pop4_aina_nh_1824","pop4_hispanic_1824","pop4_white_nh_1824_pct","pop4_black_nh_1824_pct","pop4_api_nh_1824_pct","pop4_aina_nh_1824_pct","pop4_hispanic_1824_pct","cntypop4_total_1824","cntypop4_white_nh_1824","cntypop4_black_nh_1824","cntypop4_api_nh_1824","cntypop4_aina_nh_1824","cntypop4_hispanic_1824","cntypop4_white_nh_1824_pct","cntypop4_black_nh_1824_pct","cntypop4_api_nh_1824_pct","cntypop4_aina_nh_1824_pct","cntypop4_hispanic_1824_pct"
1990,126614,"university of colorado at boulder","CO","pub-4yr",3328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
1991,126614,"university of colorado at boulder","CO","pub-4yr",3765,3064,93,266,279,0,0,31,0,96,32,0.813811420982736,0.0247011952191235,0.0706507304116866,0.0741035856573705,0,0,0.00823373173970784,0,0.0254980079681275,0.00849933598937583,12,10,0,1,1,0,0,0,0,0,0,0.833333333333333,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,3777,3074,93,267,280,0,0,31,0,96,32,0.813873444532698,0.0246227164416203,0.0706910246227164,0.0741329097167064,0,0,0.00820757214720678,0,0.0254169976171565,0.00847233253905216,19938,17157,383,1007,1029,0,0,114,0,501,248,0.86051760457418,0.0192095496037717,0.0505065703681412,0.0516099909720132,0,0,0.00571772494733674,0,0.0251278964790852,0.0124385595345571,2688,2362,48,126,78,0,0,17,0,314,57,0.878720238095238,0.0178571428571429,0.046875,0.0290178571428571,0,0,0.00632440476190476,0,0.116815476190476,0.0212053571428571,22626,19519,431,1133,1107,0,0,131,0,815,305,0.862680102536904,0.0190488818173782,0.0500751348006718,0.0489260143198091,0,0,0.00578979934588526,0,0.0360205073808892,0.0134800671793512,335310,254935,16454,7716,2921,53284,0.760296442098357,0.0490710089171215,0.0230115415585578,0.00871134174346127,0.158909665682503,172464,128886,9055,4704,1204,28615,0.747321180072363,0.0525037109193803,0.027275257445032,0.0069811670841451,0.16591868447908
1992,126614,"university of colorado at boulder","CO","pub-4yr",3430,2707,106,268,294,0,0,35,0,47,20,0.789212827988338,0.0309037900874636,0.078134110787172,0.0857142857142857,0,0,0.0102040816326531,0,0.0137026239067055,0.00583090379008746,13,9,0,1,3,0,0,0,0,0,0,0.692307692307692,0,0.0769230769230769,0.230769230769231,0,0,0,0,0,0,3443,2716,106,269,297,0,0,35,0,47,20,0.788846935811792,0.0307871042695324,0.078129538193436,0.0862619808306709,0,0,0.0101655532965437,0,0.0136508858553587,0.00580888759802498,19576,16592,417,1083,1085,0,0,129,0,432,270,0.847568451164691,0.0213015937883122,0.0553228442991418,0.0554250102165917,0,0,0.00658970167552105,0,0.0220678381691868,0.0137923988557417,2725,2368,49,142,104,0,0,13,0,288,49,0.868990825688073,0.0179816513761468,0.0521100917431193,0.0381651376146789,0,0,0.00477064220183486,0,0.105688073394495,0.0179816513761468,22301,18960,466,1225,1189,0,0,142,0,720,319,0.850186090309852,0.0208959239495987,0.0549302721851038,0.0533159947984395,0,0,0.0063674274696202,0,0.0322855477332855,0.0143042912873862,335684,252868,16420,8047,3043,55306,0.753291786322851,0.0489150510599254,0.0239719498099403,0.0090650731044673,0.164756139702816,173468,127964,9125,4992,1272,30115,0.737680724975212,0.0526033620033666,0.0287776419858418,0.0073327645444693,0.173605506491111
1993,126614,"university of colorado at boulder","CO","pub-4yr",3586,2898,75,258,285,0,0,32,0,71,38,0.808142777467931,0.020914668153932,0.0719464584495259,0.0794757389849414,0,0,0.00892359174567764,0,0.0197992191857223,0.0105967651979922,9,6,1,0,2,0,0,0,0,1,0,0.666666666666667,0.111111111111111,0,0.222222222222222,0,0,0,0,0.111111111111111,0,3595,2904,76,258,287,0,0,32,0,72,38,0.80778859527121,0.0211404728789986,0.0717663421418637,0.0798331015299026,0,0,0.00890125173852573,0,0.0200278164116829,0.0105702364394993,19241,16129,380,1088,1145,0,0,127,0,448,372,0.838262044592277,0.0197494932695806,0.0565459175718518,0.0595083415622889,0,0,0.00660048854009667,0,0.0232836131178213,0.0193337144639052,2786,2386,63,163,114,0,0,19,0,385,41,0.856424982053123,0.0226130653266332,0.0585068198133525,0.04091888011486,0,0,0.00681981335247667,0,0.138190954773869,0.0147164393395549,22027,18515,443,1251,1259,0,0,146,0,833,413,0.84055931356971,0.0201116811186271,0.0567939347164843,0.0571571253461661,0,0,0.00662822899169201,0,0.0378172243156127,0.0187497162573206,340195,253607,16578,8726,3136,58148,0.745475389115066,0.048730874939373,0.0256499948558915,0.00921824247857846,0.170925498611091,176564,128235,9320,5494,1334,32181,0.726280555492626,0.052785392265694,0.0311161958270089,0.00755533404317981,0.182262522371491
1994,126614,"university of colorado at boulder","CO","pub-4yr",3391,2684,94,281,281,0,0,28,0,83,23,0.791506930109112,0.0277204364494249,0.0828664110881746,0.0828664110881746,0,0,0.00825715128280743,0,0.024476555588322,0.0067826599823061,20,15,1,2,1,0,0,1,0,1,0,0.75,0.05,0.1,0.05,0,0,0.05,0,0.05,0,3411,2699,95,283,282,0,0,29,0,84,23,0.791263559073585,0.0278510700674289,0.0829668718850777,0.0826737027264732,0,0,0.00850190559953093,0,0.0246262093227792,0.00674289064790384,19037,15780,375,1170,1187,0,0,146,0,520,379,0.828912118506067,0.0196984819036613,0.0614592635394232,0.0623522613857225,0,0,0.0076692756211588,0,0.0273152282397437,0.019908599043967,2688,2292,49,151,133,0,0,25,0,271,38,0.852678571428571,0.0182291666666667,0.0561755952380952,0.0494791666666667,0,0,0.00930059523809524,0,0.100818452380952,0.0141369047619048,21725,18072,424,1321,1320,0,0,171,0,791,417,0.831852704257768,0.0195166858457998,0.0608055235903337,0.0607594936708861,0,0,0.0078711162255466,0,0.036409666283084,0.0191944764096663,348496,256998,16566,9531,3280,62121,0.737448923373582,0.0475356962490244,0.0273489509205271,0.00941187273311602,0.17825455672375,180107,128780,9371,6063,1394,34499,0.715019405131394,0.052030182058443,0.0336633223583759,0.00773984353745274,0.191547246914334
1995,126614,"university of colorado at boulder","CO","pub-4yr",3535,2750,88,276,290,0,0,31,0,73,27,0.777934936350778,0.0248939179632249,0.0780763790664781,0.082036775106082,0,0,0.00876944837340877,0,0.0206506364922206,0.00763790664780764,24,20,1,2,0,0,0,0,0,1,0,0.833333333333333,0.0416666666666667,0.0833333333333333,0,0,0,0,0,0.0416666666666667,0,3559,2770,89,278,290,0,0,31,0,74,27,0.778308513627423,0.0250070244450688,0.0781118291654959,0.0814835627985389,0,0,0.00871031188536106,0,0.0207923574037651,0.00758640067434673,18783,14940,371,1172,1222,0,0,142,0,515,421,0.795400095831337,0.019751903316829,0.0623968482138104,0.0650588297928978,0,0,0.00756002768460842,0,0.027418410264601,0.0224138848959165,2751,2089,52,134,129,0,0,19,0,258,70,0.759360232642675,0.0189022173754998,0.0487095601599418,0.0468920392584515,0,0,0.0069065794256634,0,0.0937840785169029,0.0254452926208651,21534,17029,423,1306,1351,0,0,161,0,773,491,0.790795950589765,0.0196433546949011,0.0606482771431225,0.0627379957276864,0,0,0.00747654871366212,0,0.0358967214637318,0.022801151667131,354907,259011,16653,10052,3401,65790,0.729799637651554,0.0469221514368553,0.0283229127630619,0.00958279211173631,0.185372506036793,181457,127925,9172,6423,1423,36514,0.704987958579719,0.0505464104443477,0.0353968157745361,0.00784207828852015,0.201226736912877
1996,126614,"university of colorado at boulder","CO","pub-4yr",4105,3295,84,274,270,0,0,19,0,131,32,0.802679658952497,0.020462850182704,0.066747868453106,0.0657734470158343,0,0,0.0046285018270402,0,0.0319123020706456,0.00779537149817296,34,25,0,1,4,0,0,1,0,2,1,0.735294117647059,0,0.0294117647058824,0.117647058823529,0,0,0.0294117647058824,0,0.0588235294117647,0.0294117647058824,4139,3320,84,275,274,0,0,20,0,133,33,0.802126117419667,0.0202947571877265,0.0664411693645808,0.066199565112346,0,0,0.00483208504469679,0,0.0321333655472336,0.0079729403237497,18632,14856,374,1091,1168,0,0,128,0,587,428,0.797337913267497,0.0200729927007299,0.0585551738943753,0.0626878488621726,0,0,0.0068699012451696,0,0.03150493774152,0.0229712322885359,2683,1966,52,155,151,0,0,29,0,274,56,0.73276183376817,0.0193812896011927,0.0577711516958628,0.0562802832650019,0,0,0.0108087961237421,0,0.102124487513977,0.0208721580320537,21315,16822,426,1246,1319,0,0,157,0,861,484,0.789209476894206,0.0199859254046446,0.0584564860426929,0.0618813042458363,0,0,0.00736570490265072,0,0.0403940886699507,0.0227070138400188,361516,260814,16514,10524,3504,70160,0.721445247236637,0.0456798592593412,0.0291107447526527,0.00969251706701778,0.194071631684351,183184,126925,9016,6744,1457,39042,0.692882566162984,0.0492182723381955,0.0368154423967159,0.00795375141933793,0.213129967682767
1997,126614,"university of colorado at boulder","CO","pub-4yr",3877,3158,73,214,252,0,0,31,0,126,23,0.814547330410111,0.0188289914882641,0.0551973175135414,0.0649987103430487,0,0,0.007995873097756,0,0.0324993551715244,0.00593242197575445,30,20,0,4,3,0,0,1,0,0,2,0.666666666666667,0,0.133333333333333,0.1,0,0,0.0333333333333333,0,0,0.0666666666666667,3907,3178,73,218,255,0,0,32,0,126,25,0.813411824929614,0.0186844125927822,0.0557972869209112,0.06526746864602,0,0,0.00819042743793192,0,0.0322498080368569,0.00639877143588431,18849,15034,371,1074,1182,0,0,127,0,646,415,0.797601994800785,0.0196827417900154,0.0569791500875378,0.0627088970237148,0,0,0.00673775797124516,0,0.0342723751923179,0.0220170831343838,2638,1953,52,154,174,0,0,25,0,223,57,0.740333586050038,0.0197119029567854,0.0583775587566338,0.065959059893859,0,0,0.00947687642153146,0,0.0845337376800607,0.0216072782410917,21487,16987,423,1228,1356,0,0,152,0,869,472,0.790571042956206,0.0196863219621166,0.0571508353888398,0.0631079257225299,0,0,0.00707404477125704,0,0.0404430585935682,0.0219667706054824,366755,260042,16639,10954,3614,75506,0.70903464165451,0.0453681613065943,0.0298673501383758,0.00985398972065821,0.205875857179861,185699,125682,9136,7047,1479,42355,0.676804937021739,0.0491978955190927,0.0379485080695103,0.00796450169360093,0.228084157696057
1998,126614,"university of colorado at boulder","CO","pub-4yr",4170,3386,87,247,245,0,0,31,0,141,33,0.811990407673861,0.020863309352518,0.0592326139088729,0.0587529976019185,0,0,0.00743405275779377,0,0.0338129496402878,0.0079136690647482,22,17,1,1,0,0,0,0,0,2,1,0.772727272727273,0.0454545454545455,0.0454545454545455,0,0,0,0,0,0.0909090909090909,0.0454545454545455,4192,3403,88,248,245,0,0,31,0,143,34,0.811784351145038,0.0209923664122137,0.0591603053435115,0.0584446564885496,0,0,0.00739503816793893,0,0.0341125954198473,0.00811068702290076,19497,15536,384,1108,1163,0,0,144,0,764,398,0.79684053957019,0.0196953377442683,0.056829255782941,0.0596502025952711,0,0,0.00738575165410063,0,0.0391855157203672,0.0204133969328615,2668,2000,62,156,182,0,0,14,0,199,55,0.749625187406297,0.0232383808095952,0.0584707646176912,0.068215892053973,0,0,0.00524737631184408,0,0.0745877061469265,0.0206146926536732,22165,17536,446,1264,1345,0,0,158,0,963,453,0.791157229866907,0.0201218136702008,0.0570268441236183,0.0606812542296413,0,0,0.00712835551545229,0,0.0434468757049402,0.0204376268892398,378107,264498,16742,11192,3685,81990,0.699532143017717,0.0442784714379792,0.0296000867479311,0.00974591848339227,0.21684338031298,191199,126992,9165,7192,1478,46372,0.664187574202794,0.0479343511210833,0.037615259494035,0.0077301659527508,0.242532649229337
1999,126614,"university of colorado at boulder","CO","pub-4yr",4174,3421,72,219,247,0,0,37,0,144,34,0.819597508385242,0.0172496406324868,0.0524676569238141,0.0591758505031145,0,0,0.00886439865836128,0,0.0344992812649736,0.00814566363200767,38,27,2,1,5,0,0,2,0,1,0,0.710526315789474,0.0526315789473684,0.0263157894736842,0.131578947368421,0,0,0.0526315789473684,0,0.0263157894736842,0,4212,3448,74,220,252,0,0,39,0,145,34,0.818613485280152,0.0175688509021842,0.0522317188983856,0.0598290598290598,0,0,0.00925925925925926,0,0.0344254510921178,0.00807217473884141,19684,15741,371,1100,1136,0,0,152,0,800,384,0.799685023369234,0.0188477951635846,0.0558829506197927,0.0577118471855314,0,0,0.00772200772200772,0,0.0406421459053038,0.0195082300345458,2613,1983,67,137,157,0,0,34,0,195,40,0.758897818599311,0.0256410256410256,0.0524301569077688,0.0600841944125526,0,0,0.0130118637581324,0,0.0746268656716418,0.0153080750095675,22297,17724,438,1237,1293,0,0,186,0,995,424,0.794905144189801,0.0196438982822801,0.0554783154684487,0.057989864107279,0,0,0.00834192940754362,0,0.0446248374220747,0.0190160111225725,395086,273104,17355,11803,3920,88904,0.691252031203333,0.0439271449760305,0.0298745083348942,0.00992189042385708,0.225024425061885,199094,130131,9362,7514,1571,50516,0.653615879936111,0.0470230142545732,0.0377409665786011,0.00789074507519061,0.253729394155525
